uuid,ticketsubmissiondate,comment_count,average_comment_length,average_similarity
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/01/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/02/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/03/2026,7,761.4,97.17%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/04/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/05/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/06/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/07/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/08/2026,6,799.1,93.27%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/09/2026,8,796.3,91.28%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/10/2026,6,788.9,94.83%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/11/2026,7,788.3,93.52%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/12/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/13/2026,6,771.8,91.58%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/14/2026,3,788.4,95.55%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/15/2026,9,764.7,95.32%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/16/2026,4,794.5,92.09%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/17/2026,6,792.2,96.93%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/18/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/19/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/20/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/21/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/22/2026,4,775.4,96.89%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/23/2026,8,775.0,90.90%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/24/2026,7,765.1,94.18%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/25/2026,8,803.9,97.92%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/26/2026,7,794.2,93.55%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/27/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/28/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/29/2026,0,0.0,0.00%
9682e06b-7b8f-49a5-829d-da14e1366dc0,05/30/2026,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-01,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-02,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-03,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-04,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-05,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-06,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-07,4,608.2,82.02%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-08,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-09,5,722.9,75.20%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-10,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-11,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-12,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-13,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-14,1,849.7,84.90%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-15,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-16,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-17,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-18,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-19,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-20,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-21,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-22,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-23,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-24,1,619.3,87.38%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-25,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-26,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-27,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-28,4,464.8,87.53%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-29,0,0.0,0.00%
8eb36408-39ef-468c-9de9-4edf48b5b164,2026-05-30,0,0.0,0.00%
